cgid,is.inoshita.2015.dmp,is.pbmc.dmp,is.whole.blood.dmp,ttest.pvalue.pbmc,ttest.pvalue.whole.blood,dnam.direction.inoshita.2015.dmp,dnam.direction.pbmc.dmp,dnam.direction.whole.blood.dmp,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg23111338,TRUE,TRUE,TRUE,1.61e-34,7.43e-98,-0.06,-0.032,-0.019,Island,FIGNL1;FIGNL1,TSS1500;TSS1500,NM_001042762;NM_022116
cg00132255,FALSE,TRUE,FALSE,1.77e-34,0,0,-0.027,0,N_Shore,"","",""
cg05374809,FALSE,TRUE,FALSE,1.79e-34,0,0,-0.031,0,N_Shelf,C14orf23,Body,NR_026731
cg12763978,FALSE,TRUE,TRUE,1.84e-34,1.21e-119,0,-0.049,-0.028,N_Shore,"","",""
cg24613050,FALSE,TRUE,TRUE,2.21e-34,5.74e-93,0,-0.042,-0.019,Island,"","",""
cg07554357,FALSE,TRUE,FALSE,2.35e-34,0,0,-0.033,0,N_Shore,MIR548F5;NBEA;MAB21L1,Body;Body;TSS1500,NR_031646;NM_015678;NM_005584
cg04876424,TRUE,TRUE,TRUE,2.82e-34,6.22e-93,-0.05,-0.036,-0.022,N_Shore,RBM24,TSS1500,NM_001143942
cg06215416,FALSE,TRUE,FALSE,3.14e-34,0,0,0.033,0,OpenSea,"","",""
cg18093864,FALSE,TRUE,FALSE,3.47e-34,0,0,0.012,0,OpenSea,EEF1E1;SCARNA27;EEF1E1,Body;TSS1500;Body,NM_004280;NR_003703;NM_001135650
cg02920396,FALSE,TRUE,FALSE,4.51e-34,0,0,-0.03,0,S_Shelf,MRGPRF;MRGPRF,TSS1500;TSS1500,NM_001098515;NM_145015
cg02687418,FALSE,TRUE,FALSE,5.06e-34,0,0,-0.043,0,OpenSea,"","",""
cg01667892,FALSE,TRUE,TRUE,5.29e-34,1.87e-120,0,-0.058,-0.033,OpenSea,PRDM9,TSS200,NM_020227
cg03121508,FALSE,TRUE,TRUE,5.37e-34,1.26e-196,0,-0.038,-0.022,OpenSea,"","",""
cg21551271,FALSE,TRUE,FALSE,5.73e-34,0,0,0.062,0,Island,"","",""
cg13861644,FALSE,TRUE,FALSE,6.05e-34,0,0,0.055,0,N_Shore,PIWIL1,TSS1500,NM_004764
cg15198094,FALSE,TRUE,TRUE,6.21e-34,7.97e-120,0,-0.033,-0.016,N_Shore,NR5A2;NR5A2,Body;Body,NM_205860;NM_003822
cg17188169,FALSE,TRUE,TRUE,6.28e-34,3.51e-211,0,-0.059,-0.043,N_Shore,DDX43;DDX43,1stExon;5'UTR,NM_018665;NM_018665
cg20544552,FALSE,TRUE,FALSE,7.48e-34,0,0,-0.039,0,OpenSea,"","",""
cg07176589,FALSE,TRUE,FALSE,7.76e-34,0,0,-0.038,0,S_Shore,ZFHX4;LOC100192378,5'UTR;TSS1500,NM_024721;NR_024360
cg15407057,FALSE,TRUE,FALSE,8.13e-34,0,0,0.031,0,N_Shore,GPR78,TSS1500,NM_080819
cg04085339,FALSE,TRUE,FALSE,8.18e-34,0,0,-0.051,0,N_Shore,CACYBP;CACYBP,TSS1500;TSS1500,NM_014412;NM_001007214
cg02169857,FALSE,TRUE,FALSE,8.22e-34,0,0,-0.027,0,N_Shore,NCRNA00116,Body,NR_027063
cg05330360,FALSE,TRUE,TRUE,9.59e-34,1.4e-158,0,-0.049,-0.027,N_Shore,ZPBP2;ZPBP2,TSS1500;TSS1500,NM_199321;NM_198844
cg20683267,FALSE,TRUE,TRUE,1.02e-33,6.52e-174,0,-0.028,-0.022,N_Shelf,"","",""
cg07461772,FALSE,TRUE,FALSE,1.02e-33,0,0,-0.019,0,Island,SMPD3,TSS1500,NM_018667
cg09795027,FALSE,TRUE,FALSE,1.06e-33,0,0,0.035,0,S_Shore,EVPL,Body,NM_001988
cg20816361,FALSE,TRUE,FALSE,1.12e-33,0,0,0.044,0,Island,"","",""
cg15192736,FALSE,TRUE,TRUE,1.15e-33,6.51e-120,0,0.055,0.029,Island,"","",""
cg02428792,FALSE,TRUE,FALSE,1.21e-33,0,0,0.053,0,S_Shore,"","",""
cg16977735,FALSE,TRUE,FALSE,1.23e-33,0,0,0.052,0,Island,DIP2C,Body,NM_014974
cg06823108,FALSE,TRUE,FALSE,1.23e-33,0,0,-0.039,0,N_Shore,CDH20,Body,NM_031891
cg22276371,FALSE,TRUE,FALSE,1.27e-33,0,0,-0.044,0,S_Shore,CHRND,TSS200,NM_000751
cg26023912,FALSE,TRUE,FALSE,1.37e-33,0,0,0.042,0,Island,HOXA5,TSS1500,NM_019102
cg26144569,FALSE,TRUE,FALSE,1.42e-33,0,0,-0.02,0,S_Shore,CYP1B1,TSS1500,NM_000104
cg03636930,FALSE,TRUE,FALSE,1.68e-33,0,0,-0.016,0,Island,"","",""
cg26438105,FALSE,TRUE,TRUE,1.74e-33,3.57e-163,0,-0.043,-0.028,S_Shore,TMEM200C,TSS200,NM_001080209
cg10048349,FALSE,TRUE,FALSE,1.76e-33,0,0,-0.012,0,OpenSea,CRYAB;HSPB2,TSS1500;TSS200,NM_001885;NM_001541
cg27252970,FALSE,TRUE,FALSE,1.83e-33,0,0,-0.032,0,N_Shore,SPEG,Body,NM_005876
cg14429526,FALSE,TRUE,FALSE,1.9e-33,0,0,0.035,0,S_Shore,DIP2C,Body,NM_014974
cg03950599,FALSE,TRUE,TRUE,1.92e-33,2.2e-140,0,-0.052,-0.036,Island,"","",""
cg15029248,FALSE,TRUE,FALSE,2.47e-33,0,0,0.022,0,OpenSea,"","",""
cg10315903,FALSE,TRUE,TRUE,2.49e-33,2.09e-117,0,-0.037,-0.022,S_Shore,MTOR,TSS1500,NM_004958
cg00873811,FALSE,TRUE,FALSE,2.52e-33,0,0,-0.017,0,S_Shelf,"","",""
cg27421267,FALSE,TRUE,FALSE,2.66e-33,0,0,0.066,0,Island,DIP2C,Body,NM_014974
cg00442109,FALSE,TRUE,TRUE,2.69e-33,3.79e-164,0,-0.024,-0.016,OpenSea,"","",""
cg11367159,FALSE,TRUE,TRUE,2.9e-33,7.49e-103,0,-0.04,-0.026,OpenSea,"","",""
cg04798684,FALSE,TRUE,FALSE,3.03e-33,0,0,0.036,0,OpenSea,PRPSAP1,Body,NM_002766
cg19027424,FALSE,TRUE,FALSE,3.07e-33,0,0,0.044,0,OpenSea,SH3PXD2B,Body,NM_001017995
cg13201172,FALSE,TRUE,FALSE,3.24e-33,0,0,0.03,0,Island,SCRIB;SCRIB,Body;Body,NM_015356;NM_182706
cg00083790,FALSE,TRUE,FALSE,3.31e-33,0,0,0.044,0,OpenSea,"","",""
cg10600889,FALSE,TRUE,FALSE,3.58e-33,0,0,-0.057,0,OpenSea,FBXO47,TSS200,NM_001008777
cg03326699,FALSE,TRUE,FALSE,3.62e-33,0,0,0.019,0,OpenSea,"","",""
cg19234738,FALSE,TRUE,FALSE,3.76e-33,0,0,-0.04,0,N_Shore,"","",""
cg18092474,FALSE,TRUE,FALSE,3.96e-33,0,0,-0.059,0,Island,CYP1A1,TSS1500,NM_000499
cg15620114,FALSE,TRUE,TRUE,3.97e-33,6.36e-101,0,-0.04,-0.021,S_Shore,SLC16A12,TSS1500,NM_213606
cg17108141,FALSE,TRUE,FALSE,4.23e-33,0,0,-0.042,0,S_Shore,DDAH1,TSS200,NM_001134445
cg08950537,FALSE,TRUE,FALSE,4.43e-33,0,0,-0.037,0,S_Shore,RBP4,TSS1500,NM_006744
cg23586959,FALSE,TRUE,FALSE,4.5e-33,0,0,-0.034,0,S_Shore,NCRNA00028,TSS1500,NR_024358
cg05584759,FALSE,TRUE,FALSE,4.51e-33,0,0,0.023,0,Island,ARHGAP9;ARHGAP9;ARHGAP9,Body;Body;Body,NM_032496;NM_001080156;NM_001080157
cg26116639,FALSE,TRUE,FALSE,4.73e-33,0,0,0.027,0,N_Shelf,"","",""
cg06836380,FALSE,TRUE,FALSE,4.84e-33,0,0,0.027,0,Island,"","",""
cg10693865,FALSE,TRUE,FALSE,4.88e-33,0,0,-0.026,0,S_Shore,RDH13;RDH13;RDH13;RDH13,TSS1500;TSS1500;TSS1500;5'UTR,NR_027382;NR_027381;NM_001145971;NM_138412
cg12130768,FALSE,TRUE,FALSE,4.89e-33,0,0,-0.042,0,S_Shore,USP43,Body,NM_153210
cg12273319,FALSE,TRUE,FALSE,5.07e-33,0,0,0.068,0,Island,"","",""
cg05946623,FALSE,TRUE,TRUE,5.52e-33,1.11e-236,0,-0.041,-0.024,S_Shore,CDH8,TSS1500,NM_001796
cg18892244,FALSE,TRUE,FALSE,5.58e-33,0,0,0.017,0,Island,HEATR2,Body,NM_017802
cg08132302,FALSE,TRUE,FALSE,5.94e-33,0,0,-0.035,0,N_Shore,SYT5,3'UTR,NM_003180
cg21089050,FALSE,TRUE,FALSE,6.15e-33,0,0,0.009,0,OpenSea,GAS7,Body,NM_201433
cg15409133,FALSE,TRUE,FALSE,6.24e-33,0,0,0.031,0,N_Shore,GALNT9,Body,NM_001122636
cg24338780,FALSE,TRUE,FALSE,6.83e-33,0,0,-0.022,0,N_Shore,CACYBP;CACYBP,TSS1500;TSS1500,NM_014412;NM_001007214
cg08590939,FALSE,TRUE,FALSE,7.11e-33,0,0,-0.022,0,Island,OXCT1,Body,NM_000436
cg05972386,FALSE,TRUE,TRUE,7.28e-33,1.14e-105,0,-0.036,-0.016,Island,GTF2A1L;STON1-GTF2A1L;GTF2A1L,TSS200;Body;TSS200,NM_172196;NM_172311;NM_006872
cg19364777,FALSE,TRUE,FALSE,7.58e-33,0,0,0.024,0,N_Shore,TTC9B,Body,NM_152479
cg07645761,FALSE,TRUE,TRUE,7.83e-33,1.98e-140,0,0.05,0.026,N_Shore,TMPRSS8,Body,NR_026864
cg20167366,FALSE,TRUE,FALSE,8.59e-33,0,0,-0.036,0,N_Shore,"","",""
cg00538147,FALSE,TRUE,FALSE,9.87e-33,0,0,0.042,0,Island,"","",""
cg16400495,FALSE,TRUE,FALSE,9.88e-33,0,0,0.022,0,N_Shelf,MIR196A2,Body,NR_029617
cg06787873,FALSE,TRUE,FALSE,9.91e-33,0,0,0.016,0,Island,ZNF536,Body,NM_014717
cg06830210,FALSE,TRUE,FALSE,1.02e-32,0,0,0.012,0,OpenSea,TTC5,3'UTR,NM_138376
cg13555287,FALSE,TRUE,FALSE,1.05e-32,0,0,-0.023,0,S_Shelf,"","",""
cg18727948,FALSE,TRUE,FALSE,1.08e-32,0,0,0.026,0,Island,ZNF718;ZNF595;ZNF595,TSS200;1stExon;5'UTR,NM_001039127;NM_182524;NM_182524
cg09067967,TRUE,TRUE,FALSE,1.15e-32,0,-0.03,-0.01,0,Island,UGDH,TSS200,NM_003359
cg07286216,FALSE,TRUE,FALSE,1.15e-32,0,0,0.055,0,Island,LOC650226,Body,NR_029420
cg12271079,FALSE,TRUE,TRUE,1.19e-32,2.74e-107,0,-0.051,-0.015,OpenSea,GFRA1;GFRA1;GFRA1,Body;Body;Body,NM_001145453;NM_005264;NM_145793
cg08124399,FALSE,TRUE,FALSE,1.21e-32,0,0,-0.063,0,Island,DDX43,1stExon,NM_018665
cg17111780,FALSE,TRUE,FALSE,1.22e-32,0,0,-0.018,0,S_Shore,PAQR5,5'UTR,NM_017705
cg02876326,FALSE,TRUE,TRUE,1.27e-32,1.1e-104,0,-0.023,-0.016,N_Shore,PNMAL2;PNMAL2,1stExon;3'UTR,NM_020709;NM_020709
cg25568337,TRUE,TRUE,TRUE,1.29e-32,1.71e-129,-0.09,-0.062,-0.026,OpenSea,ARID1B;ARID1B;ARID1B,TSS1500;TSS1500;TSS1500,NM_175863;NM_017519;NM_020732
cg08542429,FALSE,TRUE,FALSE,1.31e-32,0,0,0.022,0,S_Shelf,AGPAT1;AGPAT1,Body;Body,NM_006411;NM_032741
cg02850689,FALSE,TRUE,FALSE,1.32e-32,0,0,0.026,0,S_Shelf,"","",""
cg22697684,FALSE,TRUE,FALSE,1.34e-32,0,0,-0.031,0,S_Shore,USP43,Body,NM_153210
cg23250574,TRUE,TRUE,TRUE,1.34e-32,4.87e-138,-0.09,-0.078,-0.039,OpenSea,"","",""
cg19658332,FALSE,TRUE,FALSE,1.43e-32,0,0,-0.026,0,S_Shore,JOSD1,TSS1500,NM_014876
cg14997592,FALSE,TRUE,TRUE,1.54e-32,1.96e-113,0,-0.042,-0.03,OpenSea,CRISP2;CRISP2;CRISP2;CRISP2;CRISP2,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,NM_001142435;NM_001142407;NM_001142417;NM_003296;NM_001142408
cg01647729,FALSE,TRUE,FALSE,1.62e-32,0,0,0.029,0,OpenSea,EVL,Body,NM_016337
cg21784396,TRUE,TRUE,TRUE,1.75e-32,4.57e-142,-0.09,-0.099,-0.043,Island,PRRT4,Body,NM_001114726
cg20286956,FALSE,TRUE,FALSE,1.8e-32,0,0,-0.036,0,Island,MACF1,5'UTR,NM_012090
cg19616851,FALSE,TRUE,FALSE,1.86e-32,0,0,-0.034,0,S_Shelf,"","",""
cg24223558,FALSE,TRUE,FALSE,1.99e-32,0,0,-0.035,0,S_Shelf,"","",""
cg15984661,FALSE,TRUE,FALSE,2.01e-32,0,0,-0.011,0,N_Shore,CCDC8;CCDC8,1stExon;5'UTR,NM_032040;NM_032040
cg03005087,FALSE,TRUE,FALSE,2.16e-32,0,0,-0.019,0,OpenSea,PRDM14,Body,NM_024504
cg23761017,FALSE,TRUE,FALSE,2.41e-32,0,0,-0.03,0,N_Shore,"","",""
cg14335069,FALSE,TRUE,FALSE,2.48e-32,0,0,-0.017,0,OpenSea,CSDC2,TSS1500,NM_014460
cg00462007,FALSE,TRUE,FALSE,2.5e-32,0,0,0.011,0,Island,"","",""
cg14434213,FALSE,TRUE,FALSE,2.58e-32,0,0,-0.045,0,S_Shore,"","",""
cg22429776,TRUE,TRUE,FALSE,2.73e-32,0,-0.01,-0.003,0,Island,ST7L;ST7L;CAPZA1;ST7L;ST7L;CAPZA1,TSS1500;TSS1500;1stExon;TSS1500;TSS1500;5'UTR,NM_138728;NM_138727;NM_006135;NM_138729;NM_017744;NM_006135
cg16913064,FALSE,TRUE,FALSE,2.79e-32,0,0,-0.038,0,Island,"","",""
cg04270274,FALSE,TRUE,FALSE,2.84e-32,0,0,-0.006,0,Island,CNOT1;CNOT1,5'UTR;5'UTR,NM_016284;NM_206999
cg27000590,FALSE,TRUE,FALSE,2.86e-32,0,0,0.02,0,OpenSea,PRAGMIN,Body,NM_001080826
cg04849320,FALSE,TRUE,FALSE,2.87e-32,0,0,-0.031,0,N_Shore,"","",""
cg21250100,FALSE,TRUE,FALSE,2.96e-32,0,0,-0.016,0,OpenSea,CSDC2,TSS200,NM_014460
cg25318971,FALSE,TRUE,FALSE,4.27e-32,0,0,-0.042,0,N_Shore,BMP7,Body,NM_001719
cg14251267,FALSE,TRUE,FALSE,4.27e-32,0,0,0.047,0,N_Shore,ZBTB46,Body,NM_025224
cg03943674,FALSE,TRUE,FALSE,4.32e-32,0,0,0.024,0,Island,KCNG2,Body,NM_012283
cg04164838,FALSE,TRUE,FALSE,4.34e-32,0,0,-0.047,0,Island,GIPC1;GIPC1;GIPC1;GIPC1;GIPC1;GIPC1,Body;Body;Body;Body;Body;Body,NM_202470;NM_202468;NM_202494;NM_202467;NM_005716;NM_202469
cg15371801,FALSE,TRUE,FALSE,4.38e-32,0,0,-0.035,0,Island,"","",""
cg11719952,FALSE,TRUE,TRUE,4.43e-32,9.15e-159,0,-0.026,-0.016,N_Shore,KLHL35,Body,NM_001039548
cg04970064,FALSE,TRUE,FALSE,4.44e-32,0,0,0.043,0,S_Shelf,"","",""
cg10593400,FALSE,TRUE,FALSE,4.58e-32,0,0,-0.043,0,S_Shore,DDAH1,TSS200,NM_001134445
cg01419914,FALSE,TRUE,FALSE,4.71e-32,0,0,0.042,0,Island,BAHCC1,Body,NM_001080519
cg11194698,FALSE,TRUE,FALSE,4.83e-32,0,0,-0.06,0,Island,GCK;GCK;GCK,Body;Body;Body,NM_000162;NM_033508;NM_033507
cg10336309,FALSE,TRUE,FALSE,4.88e-32,0,0,-0.038,0,OpenSea,RFTN1,Body,NM_015150
cg07775813,FALSE,TRUE,TRUE,5.03e-32,1.47e-152,0,-0.021,-0.014,Island,MIR548H4;NOX5;SPESP1,Body;5'UTR;Body,NR_031680;NM_024505;NM_145658
cg05977462,FALSE,TRUE,FALSE,5.25e-32,0,0,-0.03,0,Island,CUX2,Body,NM_015267
cg23206463,FALSE,TRUE,FALSE,5.31e-32,0,0,0.048,0,N_Shore,"","",""
cg12356266,FALSE,TRUE,TRUE,5.35e-32,7.55e-93,0,-0.04,-0.017,N_Shore,"","",""
cg10457361,FALSE,TRUE,FALSE,6.25e-32,0,0,0.02,0,N_Shelf,"","",""
cg04362853,FALSE,TRUE,FALSE,6.39e-32,0,0,0.033,0,Island,ZNF580,TSS1500,NM_207115
cg09575280,FALSE,TRUE,FALSE,6.91e-32,0,0,0.017,0,OpenSea,RAET1L,TSS1500,NM_130900
cg17724687,FALSE,TRUE,FALSE,6.95e-32,0,0,-0.036,0,Island,PER3,Body,NM_016831
cg13661109,FALSE,TRUE,FALSE,7.53e-32,0,0,-0.018,0,N_Shore,LMX1B,Body,NM_002316
cg12611527,TRUE,TRUE,TRUE,7.59e-32,1.21e-94,-0.02,-0.006,-0.003,Island,"","",""
cg03937609,FALSE,TRUE,FALSE,8.24e-32,0,0,0.025,0,OpenSea,ATP13A2;ATP13A2;ATP13A2,Body;Body;Body,NM_022089;NM_001141974;NM_001141973
cg03555012,FALSE,TRUE,FALSE,8.77e-32,0,0,0.005,0,N_Shore,"","",""
cg05076221,FALSE,TRUE,FALSE,9.56e-32,0,0,0.064,0,Island,HOXA5,Body,NM_019102
cg15056966,FALSE,TRUE,FALSE,1.04e-31,0,0,-0.045,0,N_Shore,"","",""
cg16451431,FALSE,TRUE,FALSE,1.05e-31,0,0,-0.049,0,N_Shore,NXPH4,Body,NM_007224
cg16653408,FALSE,TRUE,TRUE,1.05e-31,9.77e-119,0,-0.026,-0.018,N_Shore,"","",""
cg09071762,FALSE,TRUE,TRUE,1.09e-31,3.16e-213,0,-0.046,-0.032,Island,DPPA5,TSS200,NM_001025290
cg05819154,FALSE,TRUE,FALSE,1.1e-31,0,0,-0.006,0,OpenSea,"","",""
cg21587650,FALSE,TRUE,FALSE,1.12e-31,0,0,0.016,0,S_Shore,TMCC3,TSS1500,NM_020698
cg09477447,FALSE,TRUE,FALSE,1.14e-31,0,0,0.01,0,OpenSea,"","",""
cg18195080,FALSE,TRUE,FALSE,1.17e-31,0,0,-0.011,0,Island,LOC399815;FAM24B;FAM24B,TSS200;5'UTR;1stExon,NR_027282;NM_152644;NM_152644
cg13526488,FALSE,TRUE,FALSE,1.21e-31,0,0,0.037,0,N_Shelf,RPTOR;RPTOR,Body;Body,NM_001163034;NM_020761
cg22360284,FALSE,TRUE,FALSE,1.22e-31,0,0,0.035,0,OpenSea,SNAR-G2;CGB2,TSS1500;Body,NR_024244;NM_033378
cg08035479,FALSE,TRUE,FALSE,1.28e-31,0,0,0.03,0,Island,"","",""
cg13337731,FALSE,TRUE,FALSE,1.38e-31,0,0,-0.048,0,OpenSea,MLXIPL;MLXIPL;MLXIPL;MLXIPL,Body;Body;Body;Body,NM_032952;NM_032953;NM_032951;NM_032954
cg26977936,FALSE,TRUE,TRUE,1.42e-31,6.26e-102,0,-0.052,-0.026,S_Shelf,"","",""
cg08530838,FALSE,TRUE,FALSE,1.55e-31,0,0,0.046,0,OpenSea,"","",""
cg20623052,FALSE,TRUE,FALSE,1.65e-31,0,0,-0.005,0,Island,"","",""
cg08269911,FALSE,TRUE,FALSE,1.69e-31,0,0,-0.012,0,Island,NUPL1;NUPL1,TSS1500;TSS1500,NM_001008564;NM_014089
cg18736141,FALSE,TRUE,FALSE,1.78e-31,0,0,-0.029,0,Island,SLC16A11,Body,NM_153357
cg20995778,FALSE,TRUE,FALSE,1.86e-31,0,0,0.044,0,OpenSea,NLRP2,5'UTR,NM_017852
cg16779839,FALSE,TRUE,FALSE,1.88e-31,0,0,0.045,0,Island,BAHCC1,Body,NM_001080519
cg18212064,FALSE,TRUE,FALSE,2.04e-31,0,0,0.02,0,OpenSea,"","",""
cg12080906,FALSE,TRUE,FALSE,2.21e-31,0,0,-0.038,0,N_Shore,NES,Body,NM_006617
cg24479522,FALSE,TRUE,FALSE,2.25e-31,0,0,0.025,0,S_Shore,LTB;LTB,Body;Body,NM_002341;NM_009588
cg00092309,FALSE,TRUE,FALSE,2.65e-31,0,0,-0.023,0,N_Shelf,"","",""
cg23644854,FALSE,TRUE,FALSE,2.85e-31,0,0,-0.006,0,Island,"","",""
cg09973514,FALSE,TRUE,TRUE,2.87e-31,1.2e-93,0,-0.053,-0.03,Island,"","",""
cg18358727,FALSE,TRUE,FALSE,2.88e-31,0,0,0.011,0,S_Shore,POLD1,Body,NM_002691
cg00186462,FALSE,TRUE,TRUE,2.9e-31,5.07e-102,0,-0.05,-0.031,OpenSea,GPR128,Body,NM_032787
cg13753527,FALSE,TRUE,FALSE,3e-31,0,0,-0.028,0,S_Shelf,"","",""
cg15166296,FALSE,TRUE,TRUE,3.02e-31,2.85e-100,0,-0.046,-0.021,N_Shore,MYF6,TSS1500,NM_002469
cg15924568,FALSE,TRUE,TRUE,3.03e-31,3.04e-140,0,-0.026,-0.019,S_Shore,"","",""
cg26262573,FALSE,TRUE,FALSE,3.09e-31,0,0,0.041,0,S_Shore,LOC650226,TSS200,NR_029420
cg22328256,FALSE,TRUE,FALSE,3.4e-31,0,0,0.035,0,S_Shelf,"","",""
cg13977320,FALSE,TRUE,FALSE,3.48e-31,0,0,-0.031,0,N_Shore,KIF12,Body,NM_138424
cg01530154,FALSE,TRUE,TRUE,3.71e-31,2.04e-176,0,-0.026,-0.018,OpenSea,"","",""
cg22240717,FALSE,TRUE,TRUE,3.93e-31,1.2e-108,0,0.036,0.026,Island,"","",""
cg19001789,FALSE,TRUE,FALSE,3.95e-31,0,0,-0.043,0,N_Shore,"","",""
cg01440864,FALSE,TRUE,FALSE,4.02e-31,0,0,-0.028,0,N_Shelf,WNT3,Body,NM_030753
cg00423030,FALSE,TRUE,FALSE,4.37e-31,0,0,0.046,0,Island,TNRC6C;TNRC6C,5'UTR;5'UTR,NM_018996;NM_001142640
cg02410480,FALSE,TRUE,FALSE,4.65e-31,0,0,0.049,0,N_Shelf,GALNT9,Body,NM_001122636
cg26916862,FALSE,TRUE,FALSE,4.75e-31,0,0,0.05,0,S_Shore,"","",""
cg14492992,FALSE,TRUE,FALSE,4.81e-31,0,0,-0.037,0,S_Shelf,"","",""
cg12289251,FALSE,TRUE,FALSE,4.82e-31,0,0,-0.046,0,OpenSea,CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2,Body;Body;Body;Body;Body;TSS200;Body;Body;Body,NM_201571;NM_201593;NM_000724;NM_201597;NM_201572;NM_201570;NM_201590;NM_201596;NM_001167945
cg05255803,FALSE,TRUE,FALSE,5e-31,0,0,0.022,0,Island,SNHG3-RCC1;RCC1;SNHG3-RCC1;RCC1;RCC1;SNHG3-RCC1,Body;Body;Body;Body;Body;Body,NR_030725;NM_001048195;NM_001048199;NM_001269;NM_001048194;NR_030726
cg09699193,FALSE,TRUE,FALSE,5.31e-31,0,0,-0.042,0,OpenSea,SEMA5A,5'UTR,NM_003966
cg04181327,FALSE,TRUE,FALSE,5.49e-31,0,0,0.037,0,N_Shore,"","",""
cg25221196,FALSE,TRUE,FALSE,5.91e-31,0,0,0.014,0,Island,"","",""
cg13922451,FALSE,TRUE,FALSE,6.08e-31,0,0,0.009,0,S_Shelf,"","",""
cg24301866,FALSE,TRUE,FALSE,6.29e-31,0,0,-0.022,0,Island,"","",""
cg18424208,FALSE,TRUE,FALSE,7.27e-31,0,0,-0.045,0,Island,CDX1,TSS200,NM_001804
cg08190175,FALSE,TRUE,FALSE,7.34e-31,0,0,0.026,0,S_Shelf,"","",""
cg03785646,FALSE,TRUE,FALSE,7.61e-31,0,0,0.032,0,S_Shore,AGAP1;AGAP1,Body;Body,NM_014914;NM_001037131
cg01652244,FALSE,TRUE,TRUE,8.22e-31,3.47e-165,0,-0.058,-0.03,Island,DPPA5,TSS200,NM_001025290
cg21232023,FALSE,TRUE,FALSE,8.47e-31,0,0,-0.054,0,S_Shore,"","",""
cg15473092,FALSE,TRUE,FALSE,8.56e-31,0,0,0.028,0,S_Shore,"","",""
cg20071427,FALSE,TRUE,FALSE,8.65e-31,0,0,0.035,0,Island,ZNF331;ZNF331;ZNF331,5'UTR;5'UTR;TSS1500,NM_001079906;NM_018555;NM_001079907
cg03681644,FALSE,TRUE,FALSE,8.72e-31,0,0,0.029,0,Island,C19orf29;C19orf29,3'UTR;3'UTR,NM_001080543;NM_021231
cg26865747,FALSE,TRUE,FALSE,8.95e-31,0,0,-0.073,0,N_Shore,"","",""
cg02409125,FALSE,TRUE,TRUE,9.11e-31,3.86e-104,0,-0.053,-0.023,N_Shore,GRM8,5'UTR,NM_001127323
cg27019019,FALSE,TRUE,FALSE,9.27e-31,0,0,-0.024,0,S_Shore,PIGW;MYO19;MYO19;MYO19,5'UTR;TSS1500;TSS1500;TSS1500,NM_178517;NM_025109;NM_001163735;NM_001033580
cg13360404,FALSE,TRUE,FALSE,9.35e-31,0,0,-0.004,0,Island,KLHDC10,TSS200,NM_014997
cg11065575,FALSE,TRUE,FALSE,9.98e-31,0,0,-0.048,0,S_Shelf,SHISA3,3'UTR,NM_001080505
cg04289314,FALSE,TRUE,FALSE,1.06e-30,0,0,0.027,0,Island,"","",""
cg03551401,FALSE,TRUE,TRUE,1.15e-30,2.62e-152,0,-0.034,-0.023,N_Shore,ADCY8,Body,NM_001115
cg11374933,FALSE,TRUE,TRUE,1.23e-30,1.03e-138,0,-0.03,-0.02,S_Shore,"","",""
cg12752627,FALSE,TRUE,FALSE,1.24e-30,0,0,-0.031,0,N_Shore,CYP26C1,Body,NM_183374
cg02624701,FALSE,TRUE,TRUE,1.31e-30,9.33e-115,0,-0.044,-0.032,Island,SLC17A7,Body,NM_020309
cg27574223,FALSE,TRUE,FALSE,1.37e-30,0,0,-0.038,0,S_Shore,"","",""
cg22683036,FALSE,TRUE,TRUE,1.38e-30,1.04e-168,0,-0.045,-0.032,OpenSea,ATG4C;ATG4C,TSS1500;TSS1500,NM_178221;NM_032852
cg07876950,FALSE,TRUE,FALSE,1.39e-30,0,0,0.029,0,N_Shore,TTC9B,Body,NM_152479
cg26283170,FALSE,TRUE,FALSE,1.53e-30,0,0,0.036,0,Island,OPCML,Body,NM_001012393
cg02925601,FALSE,TRUE,FALSE,1.58e-30,0,0,0.03,0,S_Shore,"","",""
cg25712088,FALSE,TRUE,FALSE,1.69e-30,0,0,0.031,0,S_Shore,DIP2C,Body,NM_014974
cg14091493,FALSE,TRUE,FALSE,1.7e-30,0,0,0.019,0,OpenSea,VAV2;VAV2,Body;Body,NM_001134398;NM_003371
cg00099295,FALSE,TRUE,TRUE,1.7e-30,3.26e-141,0,-0.049,-0.034,N_Shore,MKRN2,TSS1500,NM_014160
cg20212912,FALSE,TRUE,TRUE,1.7e-30,7.03e-131,0,-0.036,-0.017,N_Shore,"","",""
cg24014869,FALSE,TRUE,TRUE,1.71e-30,2.82e-160,0,-0.04,-0.027,Island,EVI5L;EVI5L,3'UTR;3'UTR,NM_001159944;NM_145245
cg04938149,FALSE,TRUE,FALSE,1.89e-30,0,0,-0.04,0,N_Shore,HBA2,TSS1500,NM_000517
cg11857646,FALSE,TRUE,FALSE,1.93e-30,0,0,-0.032,0,Island,KCNH2;KCNH2,Body;Body,NM_172057;NM_000238
