cgid,is.haftorn.2021.dmp,is.merid.2020.dmp,is.cord.blood.dmp,cord.blood.ttests.padjusted,cord.blood.ttest.pnominal,cord.blood.ttest.tvalue,cord.blood.ttest.std.err,cord.blood.ttest.estimate,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg25331073,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,BEST2,3'UTR,NM_017682
cg08670136,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,TBX21,TSS1500,NM_013351
cg11727252,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,GRM2;GRM2,3'UTR;3'UTR,NM_000839;NM_001130063
cg00528616,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,ZNRF1,Body,NM_032268
cg25891647,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,"","",""
cg26585452,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg10407585,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,VWA2,5'UTR,NM_198496
cg11883836,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg13433246,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg12956598,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ATG4D;MIR1238,Body;TSS1500,NM_032885;NR_031603
cg19456997,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PSORS1C1,5'UTR,NM_014068
cg05654765,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LAMB2,TSS200,NM_002292
cg10489928,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,BAT2,Body,NM_080686
cg02358323,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg07601804,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CA6,Body,NM_001215
cg05352688,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg01115857,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg12041340,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg03862854,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,C20orf56,Body,NR_001558
cg01538969,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DHX16;DHX16,Body;Body,NM_001164239;NM_003587
cg00495311,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,LRRC58,TSS1500,NM_001099678
cg09526122,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,LETM1,Body,NM_012318
cg15392111,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,NDUFC1,Body,NM_002494
cg05929755,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg00059652,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg24306340,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,CACHD1,Body,NM_020925
cg18182566,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,MTA1,Body,NM_004689
cg00960906,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg25827710,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LCP1,5'UTR,NM_002298
cg01747263,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,TIPARP;LOC100287227,5'UTR;TSS1500,NM_015508;NR_027954
cg08273169,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg13235787,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg17871993,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,TPST1,5'UTR,NM_003596
cg13327545,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg11432943,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ASAM,Body,NM_024769
cg10057528,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,C1orf86;PRKCZ;PRKCZ;PRKCZ,Body;3'UTR;3'UTR;3'UTR,NM_001146310;NM_001033582;NM_001033581;NM_002744
cg09093409,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LOC100130987,Body,NR_024469
cg04124586,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,RERE;RERE,Body;Body,NM_012102;NM_001042681
cg13859511,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,WNT10A,Body,NM_025216
cg12690996,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,KLHL21,3'UTR,NM_014851
cg05492306,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,ERCC1;ERCC1;ERCC1,TSS1500;TSS1500;TSS1500,NM_001983;NM_202001;NM_001166049
cg06664900,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg19734222,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg19743721,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,ALKBH4,Body,NM_017621
cg16585234,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,MAN1C1,1stExon,NM_020379
cg14189391,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DNMT3A;DNMT3A;DNMT3A,Body;Body;Body,NM_022552;NM_175630;NM_175629
cg22595920,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,C1orf200;PIK3CD,TSS1500;5'UTR,NR_027045;NM_005026
cg04206967,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TRHR,TSS1500,NM_003301
cg06489037,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg13689560,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,C19orf36;MOBKL2A;C19orf36,TSS1500;5'UTR;TSS1500,NM_001039846;NM_130807;NM_001031735
cg18945039,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,OVGP1,Body,NM_002557
cg02709807,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg24724587,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,DDAH1,TSS200,NM_001134445
cg12016746,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,LRP5,Body,NM_002335
cg02068169,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,CRABP2,TSS200,NM_001878
cg11855943,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg22608655,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PYGO2,Body,NM_138300
cg16480662,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,TMEM198,Body,NM_001005209
cg18045515,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,CBX2;CBX2,TSS1500;TSS1500,NM_005189;NM_032647
cg05240948,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,CBFA2T3;CBFA2T3,Body;Body,NM_175931;NM_005187
cg05404233,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg15233611,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,SETD1B,Body,NM_015048
cg12130768,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,USP43,Body,NM_153210
cg13168012,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,TMEM132A;TMEM132A,Body;Body,NM_017870;NM_178031
cg18843856,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,GLI2,Body,NM_005270
cg05205736,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg08373610,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,RFTN2,TSS200,NM_144629
cg00911776,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,FLJ43663;FLJ43663,Body;Body,NR_015431;NR_024153
cg08220149,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,NDE1;NDE1,Body;Body,NM_017668;NM_001143979
cg02521457,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg16599817,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,PRKCZ;PRKCZ;PRKCZ;PRKCZ,1stExon;5'UTR;Body;5'UTR,NM_001033582;NM_001033582;NM_002744;NM_001033581
cg20264732,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,ESRP2,1stExon,NM_024939
cg01123957,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,NPAS3;NPAS3;NPAS3;NPAS3,Body;Body;Body;Body,NM_001164749;NM_173159;NM_001165893;NM_022123
cg22736037,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,GIMAP4,Body,NM_018326
cg02399048,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,REEP4,TSS1500,NM_025232
cg20290360,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,NFASC;NFASC;NFASC;NFASC,Body;Body;Body;Body,NM_001005388;NM_001160331;NM_015090;NM_001160332
cg23361127,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg26889408,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ZDHHC18,Body,NM_032283
cg14995562,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,CSNK1E;CSNK1E,TSS200;TSS1500,NM_001894;NM_152221
cg17980404,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,IGFBP4,Body,NM_001552
cg00620190,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,HIST1H4F,TSS1500,NM_003540
cg03433241,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg05051606,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,VWA3A,TSS200,NM_173615
cg13092108,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,RPS6KA1,Body,NM_002953
cg24754633,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CCDC88C,Body,NM_001080414
cg17201124,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg10636246,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,AIM2,TSS1500,NM_004833
cg08702344,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CLDN12,TSS1500,NM_012129
cg12423733,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,MAS1L,1stExon,NM_052967
cg27386431,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,KIF21B,Body,NM_017596
cg06817455,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg01806151,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg05766064,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ABHD3;MIR320C1,Body;TSS1500,NM_138340;NR_031565
cg10254692,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,PLAGL1;PLAGL1,TSS1500;TSS1500,NM_001080955;NM_001080951
cg20515136,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,IL12A,Body,NM_000882
cg01837574,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,TRAPPC1;CNTROB;CNTROB;TRAPPC1;TRAPPC1;TRAPPC1,TSS1500;1stExon;1stExon;TSS1500;TSS1500;TSS1500,NM_021210;NM_001037144;NM_053051;NR_030697;NM_001166621;NR_030684
cg01468420,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,SYNGAP1,Body,NM_006772
cg02446225,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ATG4D;MIR1238,Body;TSS200,NM_032885;NR_031603
cg22006208,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,SEZ6;SEZ6,Body;Body,NM_001098635;NM_178860
cg02642117,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CDKAL1,Body,NM_017774
cg00030604,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg00234616,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,TLX2,TSS1500,NM_016170
cg06137123,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg05345823,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,MUC6,Body,NM_005961
cg21824343,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,WDR81;WDR81;WDR81;WDR81,Body;Body;Body;Body,NM_001163673;NM_152348;NM_001163811;NM_001163809
cg20044443,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PIAS1,TSS1500,NM_016166
cg02906407,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,SSPO,Body,NM_198455
cg17098093,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg04615964,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,GABBR1;GABBR1;GABBR1,Body;Body;Body,NM_021904;NM_021903;NM_001470
cg27660536,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg16624888,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg10031995,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PRR5;PRR5,TSS1500;TSS1500,NM_001017529;NM_001017528
cg26801943,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,SEMA4F,TSS1500,NM_004263
cg27513684,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg08996678,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TRIM40,Body,NM_138700
cg18251191,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg02077276,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,CALCA;CALCA;CALCA,TSS200;TSS200;TSS200,NM_001033952;NM_001033953;NM_001741
cg03990819,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg23397278,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,GPR137;BAD;BAD;GPR137,TSS1500;1stExon;Body;TSS200,NM_001170881;NM_004322;NM_032989;NM_001170726
cg24561207,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,ZC3H3,Body,NM_015117
cg26126740,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TOX2;TOX2;TOX2;TOX2,5'UTR;TSS1500;Body;5'UTR,NM_001098796;NM_001098798;NM_001098797;NM_032883
cg23389651,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg21195235,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,KATNAL2,5'UTR,NM_031303
cg27478224,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,IFIT2,TSS1500,NM_001547
cg08049592,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,AQP12B,TSS1500,NM_001102467
cg05210501,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,HOXA10;HOXA10,1stExon;5'UTR,NM_153715;NM_153715
cg23139982,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg01520588,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg00095018,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,MAPK13,Body,NM_002754
cg08912801,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg04613258,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,NGFR,Body,NM_002507
cg15657641,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg24435571,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ARL3,3'UTR,NM_004311
cg15922699,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg21953058,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,INO80,Body,NM_017553
cg00622010,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,AQP1,TSS1500,NM_198098
cg20494738,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,NCOR2;NCOR2,5'UTR;5'UTR,NM_006312;NM_001077261
cg09548780,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TNS1,5'UTR,NM_022648
cg17960717,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg02760218,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,EHMT2;EHMT2,TSS1500;TSS1500,NM_006709;NM_025256
cg22327175,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,SORL1,Body,NM_003105
cg06975048,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,KCNAB3,3'UTR,NM_004732
cg11608390,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,GMDS,Body,NM_001500
cg02997316,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LMNA;LMNA;LMNA,Body;Body;Body,NM_005572;NM_170707;NM_170708
cg16154155,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg12552165,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LAMC2;LAMC2,TSS200;TSS200,NM_018891;NM_005562
cg01188914,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PPM1F,5'UTR,NM_014634
cg11554335,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,UBE2L6,TSS1500,NM_198183
cg01871427,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg04233669,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,LOC153328,Body,NM_145282
cg19325793,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,HLA-DPB2,Body,NR_001435
cg23796967,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,GP6;GP6,1stExon;1stExon,NM_001083899;NM_016363
cg15229994,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,Body;TSS200;5'UTR;Body;Body;Body;Body,NM_001113492;NM_001113495;NM_001113496;NM_001113493;NM_001113491;NM_006640;NM_001113494
cg12634306,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,HEYL,Body,NM_014571
cg20806180,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,MGAT3,TSS1500,NM_002409
cg23098693,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,FAM46C,5'UTR,NM_017709
cg24185397,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg19137107,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg15326297,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg19056004,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,LRRC23;ENO2;LRRC23;LRRC23,3'UTR;TSS1500;3'UTR;3'UTR,NM_201650;NM_001975;NM_001135217;NM_006992
cg19692710,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DNAJB13;DNAJB13,1stExon;5'UTR,NM_153614;NM_153614
cg24134292,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg27574595,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,RARB;RARB,Body;Body,NM_016152;NM_000965
cg07644446,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg12453539,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,LRRN4,5'UTR,NM_152611
cg03938043,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,INTS7;DTL,Body;TSS1500,NM_015434;NM_016448
cg17411792,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg01351032,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,CIITA,1stExon,NM_000246
cg02982610,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ALOX5AP,TSS1500,NM_001629
cg13034073,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,GNA12,3'UTR,NM_007353
cg17013990,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,DEDD;DEDD;DEDD,3'UTR;3'UTR;3'UTR,NM_032998;NM_001039711;NM_001039712
cg17931529,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,MOBKL2A,5'UTR,NM_130807
cg18459040,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg18984002,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,MLLT6,Body,NM_005937
cg06854772,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,LETM1,Body,NM_012318
cg07960691,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,BAIAP2;BAIAP2;BAIAP2;BAIAP2,Body;Body;Body;Body,NM_017450;NM_006340;NM_001144888;NM_017451
cg08468772,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PSD2,TSS1500,NM_032289
cg19582222,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg21098005,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PLTP;PLTP,Body;Body,NM_182676;NM_006227
cg21152671,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,TRAF1,TSS1500,NM_005658
cg21772826,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TPRG1,3'UTR,NM_198485
cg22544881,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,FLJ43663;FLJ43663,Body;Body,NR_015431;NR_024153
cg01695643,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,GSC,TSS1500,NM_173849
cg02754470,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg19275978,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PAPOLG,TSS1500,NM_022894
cg00357971,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,COL20A1,TSS1500,NM_020882
cg07683636,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,NHEJ1,3'UTR,NM_024782
cg19013399,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg03144848,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,GPR20,TSS200,NM_005293
cg08802944,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PCBP2;PCBP2;PCBP2;PCBP2;PCBP2;PCBP2;PCBP2;MAP3K12,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,NM_031989;NM_001128911;NM_001128912;NM_001128913;NM_001098620;NM_001128914;NM_005016;NM_006301
cg25882597,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,LPIN3,TSS200,NM_022896
cg04254886,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2,Body;Body;Body;Body;Body;Body;Body;Body,NM_016250;NM_201535;NM_201538;NM_201541;NM_201540;NM_201539;NM_201537;NM_201536
cg06800658,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,"","",""
cg16848717,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,NFATC1;NFATC1;NFATC1,Body;5'UTR;Body,NM_006162;NM_172388;NM_172390
cg04018325,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,MIR193B,TSS200,NR_030177
cg14172126,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,FAM69B,Body,NM_152421
cg00085493,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg04115418,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,STMN3,Body,NM_015894
cg08352115,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ARSG,Body,NM_014960
cg16534427,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,FLJ10357,Body,NM_018071
cg24664957,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,VPS37B,TSS1500,NM_024667
cg04956471,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DGKD;DGKD,Body;Body,NM_152879;NM_003648
cg08998192,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,TAP2;TAP2,Body;Body,NM_000544;NM_018833
cg15731920,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LASP1,Body,NM_006148
cg26102082,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,NGFR,Body,NM_002507
cg07440264,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CD59;CD59;CD59;CD59;CD59;CD59;CD59;CD59,5'UTR;TSS1500;5'UTR;TSS1500;5'UTR;TSS1500;TSS1500;5'UTR,NM_203330;NM_001127225;NM_203329;NM_001127226;NM_000611;NM_001127223;NM_001127227;NM_203331
cg25364972,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg25839227,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ABI3;ABI3,Body;Body,NM_001135186;NM_016428
cg10964944,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg19618897,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg03699459,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg05208399,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,MAPK8IP3;MAPK8IP3,Body;Body,NM_001040439;NM_015133
cg07239110,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,SETD1B,Body,NM_015048
cg07425109,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,RPS6KA4;RPS6KA4,3'UTR;3'UTR,NM_003942;NM_001006944
cg19400179,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DZIP3,5'UTR,NM_014648
cg01215339,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,HDAC10;TUBGCP6;HDAC10,Body;TSS1500;Body,NM_032019;NM_020461;NM_001159286
cg03431918,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg03568507,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,HDAC4,Body,NM_006037
